code,product_name,ingredients_text,allergens_en,image_url,ingredients_cleaned,nb_ingredients,ewg_status,Product_Score
3600522365884,Solution Micellaire,"AQUA / WATER, HEXYLENE GLYCOL, GLYCERIN, POLOXAMER 184, DISODIUM COCOAMPHODIACETATE, DISODIUM EDTA, POLYAMINOPROPYL BIGUANIDE. (F.I.L B54894/2).",,,"aqua water, hexylene glycol, glycerin, poloxamer, disodium cocoamphodiacetate, disodium edta, polyaminopropyl biguanide",7,ALL_FOUND,1.125
3600522838876,Accord Parfait fond de teint unifiant sur-mesure Lin,"AQUA / WATER, DIMETHICONE, ISODODECANE, CYCLOHEXASILOXANE, GLYCERIN, PEG-10 DIMETHICONE, METHYL METHACRYLATE CROSSPOLYMER, BUTYLENE GLYCOL, PENTYLENE GLYCOL, SYNTHETIC FLUORPHLOGOPITE, DISTEARDIMONIUM HECTORITE, HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID, CETYL PEG/PPG-10/1 DIMETHICONE, SODIUM CHLORIDE, POLYGLYCERYL-4 ISOSTEARATE, HEXYL LAURATE, CAPRYLYL GLYCOL, PHENOXYETHANOL, DISODIUM STEAROYL GLUTAMATE, TOCOPHEROL, PANTHENOL, ALUMINUM HYDROXIDE, HYDROXYETHYL UREA, HYDRATED SILICA, METHICONE",,,"aqua water, dimethicone, isododecane, cyclohexasiloxane, glycerin, peg dimethicone, methyl methacrylate crosspolymer, butylene glycol, pentylene glycol, synthetic fluorphlogopite, disteardimonium hectorite, hydroxyethylpiperazine ethane sulfonic acid, cetyl pegppg dimethicone, sodium chloride, polyglyceryl isostearate, hexyl laurate, caprylyl glycol, phenoxyethanol, disodium stearoyl glutamate, tocopherol, panthenol, aluminum hydroxide, hydroxyethyl urea, hydrated silica, methicone",25,ALL_FOUND,1.119047619047619
3600522840626,Accord Parfait fond de teint unifiant sur-mesure Lin,"AQUA / WATER, DIMETHICONE, ISODODECANE, CYCLOHEXASILOXANE, GLYCERIN, PEG-10 DIMETHICONE, METHYL METHACRYLATE CROSSPOLYMER, BUTYLENE GLYCOL, PENTYLENE GLYCOL, SYNTHETIC FLUORPHLOGOPITE, DISTEARDIMONIUM HECTORITE, HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID, CETYL PEG/PPG-10/1 DIMETHICONE, SODIUM CHLORIDE, POLYGLYCERYL-4 ISOSTEARATE, HEXYL LAURATE, CAPRYLYL GLYCOL, PHENOXYETHANOL, DISODIUM STEAROYL GLUTAMATE, TOCOPHEROL, PANTHENOL, ALUMINUM HYDROXIDE, HYDROXYETHYL UREA, HYDRATED SILICA, METHICONE",,,"aqua water, dimethicone, isododecane, cyclohexasiloxane, glycerin, peg dimethicone, methyl methacrylate crosspolymer, butylene glycol, pentylene glycol, synthetic fluorphlogopite, disteardimonium hectorite, hydroxyethylpiperazine ethane sulfonic acid, cetyl pegppg dimethicone, sodium chloride, polyglyceryl isostearate, hexyl laurate, caprylyl glycol, phenoxyethanol, disodium stearoyl glutamate, tocopherol, panthenol, aluminum hydroxide, hydroxyethyl urea, hydrated silica, methicone",25,ALL_FOUND,1.119047619047619
3600541729452,Solution Micellaire Tout en 1 Peaux Sensibles,"AQUA / WATER, HEXYLENE GLYCOL, DISODIUM COCOAMPHODIACETATE, DISODIUM EDTA, POLOXAMER 184, POLYAMINOPROPYL BIGUANIDE. (B162919/4)",,,"aqua water, hexylene glycol, disodium cocoamphodiacetate, disodium edta, poloxamer, polyaminopropyl biguanide",6,ALL_FOUND,1.0
3600550313352,Eau micellaire physiologique visage et yeux,"AQUA / WATER, HEXYLENE GLYCOL, GLYCERIN, PEG-60 HYDROGENATED CASTOR OIL, POLOXAMER 184, DISODIUM COCOAMPHODIACETATE, DISODIUM EDTA, CITRIC ACID, PANTHENOL, POLYAMINOPROPYL BIGUANIDE, (F.I.L. B164981/1).",,http://en.openbeautyfacts.org/images/products/360/055/031/3352/front.5.400.jpg,"aqua water, hexylene glycol, glycerin, peg hydrogenated castor oil, poloxamer, disodium cocoamphodiacetate, disodium edta, citric acid, panthenol, polyaminopropyl biguanide",10,ALL_FOUND,1.2857142857142858
3700436040751,Huile de massage gourmande & chauffante Fraise,"GLYCERIN, PROPYLENE GLYCOL, AROMA, SODIUM SACCHARIN.",,,"glycerin, propylene glycol, aroma, sodium saccharin",4,ALL_FOUND,1.25
3760087902921,beurre de karité sans parfum,"Butyrospermum parkii butter*, tocopherol.",,,"butyrospermum parkii butter, tocopherol",2,ALL_FOUND,
4005800019876,Aquaphor,"Paraffinum Liquidum, Cera Micro-cristallina, Ceresin, Lanolin Alcohol (Eucerit®), Panthenol, Glycerin, Bisabolol",,,"paraffinum liquidum, cera microcristallina, ceresin, lanolin alcohol, panthenol, glycerin, bisabolol",7,ALL_FOUND,1.35
4015400646839,Baby-dry 4+ (9-18 kg),"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract.",,,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",4,ALL_FOUND,1.4166666666666667
4015400696667,Premium protection Active Fit 5 11-23 kg,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",,,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",4,ALL_FOUND,1.3125
