barcode,product_name,ingredients,image_url
33000000954,660 DIVINE ,"Ethyl Acetate, Butyl Acetate, Nitrocellulose, Silica,  Tribenzoin, Polyethylene Terephthalate, Isopropyl Alcohol, Propyl Acetate, Acetyl Tributyl Citrate, Adipic Acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Stearalkonium Bentonite, Benzophenone-1, Triacetin, Tetrabutyl Phenyl Hydroxybenzoate,  Serica ((Silk Powder) Poudre De Soie), Polyurethane-11, n-Butyl Alcohol, PPG-2 Dimethicone, Alumina, Dimethicone, Citric Acid, Malic Acid, Phosphoric Acid, Aqua ((Water) Eau),  Stearalkonium Hectorite, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, Black 2 (CI 77266) [NANO] (???)",
50051275131,Lip smacker,"Ricinus comminis (castor) seed oil, cetyl acetate, beeswax (cera alba), euphorbia cerifera (candelilla) wax, flavor/aroma, polybutene, sesamium indicum (sesame) seed oil, propylene glycol, ozokerite, copernicia cerifera (carnauba) wax, acetylated lanolin alcohol, mineral oil (paraffinum liquidum), hydrogenated soy glycerides, paraffin, triticum vulgare (wheat) germ oil, stearic acid, propyl gallate, citric acid, polyesther-3 (fanta strawberry only), limonene, cinnamyl alcohol, methyl 2-octynoate, benzyl benzoate, linalool, citronellol, geraniol, coumarin, cinnamal, citral, eugeniol, isoeugeniol, anisyl alcojol, neotame, sodium saccharin, (+/- CI 77891, CI 15850, CI 19140, CI 42090, CI 15850, CI 17200, CI 45410, CI 77742, CI 77491, CI 77492, CI 77499) R09-13",http://en.openbeautyfacts.org/images/products/005/005/127/5131/front.5.400.jpg
57800115816,Healthy Hand & Nail Lotion,"AQUA, GLYCERIN, DIETHYLHEXYL CARBONATE, STEARIC ACID, PARAFFINUM LIQUIDUM, SODIUM HYDROXYPROPYL STARCH PHOSPHATE, GLYCERYL STEARATE SE, DIMETHICONE, GLYCINE SOJA OIL, HELIANTHUS ANNUUS SEED OIL, POTASSIUM LACTATE, GLYCERYL STEARATE, CETYL ALCOHOL, LACTIC ACID, GLYCOL STEARATE, PEG-100 STEARATE, KERATIN AMINO ACIDS, SOY LECITHIN, TOCOPHERYL ACETATE, STEARAMIDE AMP, PETROLATUM, PROPYLENE GLYCOL,MAGNESIUM ALUMINUM SILICATE, ETHYLHEXYL METHOXYCINNAMATE, UREA, TETRASODIUM EDTA, XANTHAN GUM, METHYLPARABEN, PROPYLPARABEN, RETINYL PALMITATE, DIAZOLIDINYL UREA, PARFUM",
62200825029,Hair Removal Cream Dry Skin Shea Butter & Lily Fragrance ,"Water, Urea, Potassium Thioglycolate, Mineral Oil, Cetearyl Alcohol, Calcium Hydroxide, Talc, Ceteareth-20, Glycerin, Sorbitol, Parfum, Magnesium Trisilicate, Potassium Hydroxide, Propylene Glycol, Lithium Magnesium Sodium Silicate, Butyrospermum Parkii Butter, Sodium Gluconate, Acrylates Copolymer, Hydrated Silica, Titanium Dioxide",
71409543214,Mand 'n tail and body,"water, sodium lauryl sulfate, cocamidopropyl betaine, cocamide BEA, glycol distearate, sodium chloride, propylene glycol, fragrance, hydrolyzed collagen, citric acid, methylchloroisothiazolinone/Methylisothiazolinone, butulphenol methylpropional",
73852007763,Advanced Gel hydro-alcoolique pour les mains,"Ethyl alcohol, aqua, isopropyl alcohol, caprylyl glycol, glycerin, isopropyl myristate, tocopheryl acetate, acrylates/C10-30 alkyl acrylate crosspolymer, aminomethyl propanol.",http://en.openbeautyfacts.org/images/products/007/385/200/7763/front.6.400.jpg
74170410952,BB Crème 01 Light,"Ingredients: Aqua/Water, Cyclopentasiloxane, Paraffinum Liquidum/Mineral Oil, Propylene Glycol, Glycerin, Stearic Acid, Magnesium Aluminum Silicate, Talc, Isostearic Acid, Triethanolamine, Cetyl Alcohol, Phenoxyethanol, Dimethicone Crosspolymer, Xanthan Gum, Methylparaben, Tocopheryl Acetate, Disodium Edta, Propylparaben, Ethylparaben",
79400204370,Cleanse,"Aqua (Water), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Dimethiconol, Parfum (Fragrance), Glycol Distearate, Glycerin, Carbomer, Guar Hydroxypropyltrimonium Chloride, Gluconolactone, Trehalose, Adipic Acid, Sodium Sulfate, Tea-Dodecylbenzenesulfonate, Amodimethicone, PPG-12, Citric Acid, Disodium EDTA, PEG-45M, Trideceth-12, Tea-Sulfate, Triethanolamine, Cetrimonium Chloride, DMDM Hydantoin, Sodium Benzoate, Magnesium Nitrate, Magnesium Chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Citronellol, Geraniol, Limonene, Linalool, CI 77019 (MICA), CI 77891 (Titanium Dioxide)",
83800034284,Passion peel off + lemon zest peel off,"Passion peel off : aqua (purified water, polyvinyl alcohol, alcohol denat, PPG-1-PEG-9 lauryl glycol ether, PVP, glucose, parfum (fragrance), xantham gum, rubus idaeus (raspberry) fruit extract, propylene glycol, punica granatum (pomegranate) seed extract, vitis vinifera (red grape) extract, passiflora incarnata (passionflower) flower extract, PEG-35 castor oil, vaccinum macrocarpon (cranberry) fruit extract, aloe barbadensis (aloe vera) leaf juice, nelumbo nucifera (lotus blossom) flower extract, oenothera biennis (evening primrose) seed extract, panax ginseng root extract, tocopheryl (vitamin E) acetate, lactoperoxidase, glucose oxidase, CI 14700 (red 4), CI 60730 (ext violet n°2) Lemon zest peel off : aqua (purified water, polyvinyl alcohol, alcohol denat, PPG-1-PEG-9 lauryl glycol ether, sodium citrate, propylene glycol,  parfum (fragrance), citrus medica limonum (lemon) juice, glycerin (plant origin), aloe barbadensis (aloe vera) leaf juice, camellia sinensis (green tea) leaf extract, panax ginseng root extract, oenothera biennis (evening primrose) seed extract, zingiber officinale (ginger) root extract, algae (seaweed), fucus vesicolosus (seaweed), maris sal (dead sea salt), citric acid, butylphenyl methylpropional *, benzyl salicylate, benzyl alcohol, dehydroacetic acid, CI 19140 (yellow 5) *naturally found in fragrance",http://en.openbeautyfacts.org/images/products/008/380/003/4284/front.5.400.jpg
3077,"Shampooing démêlage Brillance, Tenue 3 en 1","AQUA/WATER/EAU, AMMONIUM LAURYL SULFATE, GLYCOL STEARATE, COCAMIDOPROPYL BÉTAÏNE, PPG-3 MYRISTYL ETHER, POLYACRYLATE-1 CROSSPOLYMER, TILIA CORDATA FLOWER EXTRACT, SODIUM BENZOATE, GLYCERIN, PARFUM/FRAGRANCE, GLYCERYL OLEATE, COCO-GLUCOSIDE, CITRIC ACID, POLYQUATERNIUM-10, PANTHENOL,HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN, GUAR HYDROXYPROPYLTRlMONIUM CHLORIDE, POLYQUATERNIUM-7, SALICYLIC ACID, PHENOXYETHANOL, POTASSIUM SORBATE, BENZALKONIUM CHLORIDE.",
309977755006,Quick Dry Base Coat,"INGREDIENTS / INGRÉDIENTS / lNGREDIENTES: BUTYL ACETATE, ETHYL ACETATE, ACRYLATES COPOLYMER, DIPROPYLENE GLYCOL DlBENZOATE, METHOXYISOPROPANOL, NITROCELLULOSE, RIBES NIGRUM SEED OIL, HIPPOPHAE RHAMNOIDES OIL, ISOPROPYL ALCOHOL, STEARALKONIUM BENTONITE, SILICA, DIACETONE ALCOHOL, TOCOPHERYL ACETATE, PANTHENOL, ASCORBYL PALMITATE, PPG-Z DIMETHICONE, ACETYL TRIBUTYL CITRATE, TRIACETIN, BENZOPHENONE-1, TITANIUM DIOXIDE (CI 77891), VIOLET 2 (Cl 60725) 24065  ",
309978695325,Colorsilk Beautiful Color - 32 Acajou foncé,Colorant: Water; Oleic Acid; Isopropyl Alcohol; Ethanolamine; PEG-2 Cocamine; Lauramide MEA; Lauryl Pyrrolidone; Sodium Laureth Sulfate; Potassium Cocoyl Hydrolyzed Collagen; Sodium Sulfite; Fragrance; Wheat Amino Acids; Hypnea Musciformis Extract; Gellidiela Acerosa Extract; Sargassum Filipendula Extract; Sorbitol; Oleyl Alcohol; Limnanthes Alba (Meadowfoam) Seed Oil; Polyquaternium-28; Laneth-5; Sodium Benzotriazolyl Sulfonate; Buteth-3; Tributyl Citrate; Erythorbic Acid; Tetrasodium EDTA; p-Phenylenediamine; 4-Amino-2-Hydroxytoluene; Resorcinol; p-Aminophenol; m-Aminophenol; o-Aminophenol; 2-Methylresorcinol.  Cream Developer: Water; Hydrogen Peroxide; Cetearyl Alcohol; Steareth-10 Allyl Ether/Acrylate Copolymer; Ceteareth-20; Trimethylsilylamodimethicone; Sodium Lauryl Sulfate; C11-15 Pareth-7; C12-16 Pareth-9; Glycerin; Trideceth-12; Disodium Phosphate; Phosphoric Acid; Trimethylsiloxysilicate; Cyclopentasiloxane; Methylparaben; EDTA.  After Color Conditioner: Water; Behentrimonium Chloride; Cetearyl Alcohol; Linoleamidoproypyl Dimethylamine Dimer Dilinoleate; Stearyl Alcohol; Cetyl Alcohol; Methoxypropylgluconamide; Silk Amino Acids; Hydrolyzed Silk; Panthenol; Panthenyl Ethyl Ether; Dimethicone Copolyol Meadowfoamate; Amodimethicone; Trideceth-12; Triisostearyl Citrate; Isostearyl Glycolate; Isostearyl Lactate; Diisostearyl Malate; Diisostearoyl Trimethylolpropane Siloxysilicate; Hydroxyethylcellulose; Cocamidopropyl Betaine; Ceteareth-20; Stearamidopropyl Dimethylamine; Cetrimonium Chloride; Fragrance; Citric Acid; Methylparaben; Propylparaben; Methylchloroisothiazolinone; Methylisothiazolinone,http://en.openbeautyfacts.org/images/products/030/997/869/5325/front.13.400.jpg
621732532197,Deep Repair Aloe Vera Jasmine Body Lotion,"Aqua, Glyceryl Stearate, Capylic/Capric Triglyceride, PEG-100 Stearate, Ctyl Esters, Stearic Acid, Cyclopentasiloxane, Cetyl Alcohol, Argania Spinosa Kernel Oil, Dimethicone, Diisopropyl Adipate, Phenoxyethanol, Cyclohexasiloxane, Aluminium Starch Octenylsuccinate, Butyrospermum Parkii Butter, Aloe Barbadensis Leaf Juiec, Jasminum Officinale Flower Extract, Ethylhexlgylcerin Parfum, Carbomer, Glycerin, Tocopheryl Acetate, Propylene Glycol, Chlorphenesin, Sodium Hydroxide, Algae Extract, Chamomilla Recutita Flower Extract, Ext. D&C Violet 2, FD&C Blue 1.",
633911680032,Deep Brilliance Reconstruct,"Aqua/Water/Eau, Cetearyl Alcohol, Diecetyldimonium Chloride, Olea Europaea (Olive) Fruit Oil, Behentrimonium Chloride, Cetyl Alcohol, Glycerin, Amodimethicone, Trideceth-12, Cetrimonium Chloride, Glyceryl Stearate SE, Cetyl Esters, Hydrolyzed Silk, Guar Hydroxypropyltrimonium Chloride, Polysorbate 60, Hydrolyzed Milk Protein, Rice Amino Acids, Symphytum Officinale Leaf Extract, Anthemis Nobilis flower Extract, Mentha Piperita (peppermint) Leaf extract, Lavandula Angustifolia (lavender) Extract, Salvia Sclarea (Clary) Extract, Tocopheryl Acetate, Retinyl Palmitate, Citric Acid, Phenoxyethanol, Caprylyl Glycol, Hexylene Glycol, Potassium Sorbate, Anthemis Nobilis Flower Oil, Cymbopogon Schoenanthus Oil, Geranium Maculatum Oil, Origanium Majorana Leaf Oil, Mentha Piperita (Peppermint) Oil, Ocimum Basilicum (Basil) Oil, Parfum (Fragrance) Coumarin, Linalool, Citronellol, Alpha-Isomethyl Ionone",http://en.openbeautyfacts.org/images/products/063/391/168/0032/front.9.400.jpg
635494310207,SKINCEUTICALS - SERUM 10,INGREDIENTS : 740021 13 AQUA/WATER DIPROPYLENE GLYCOL ASORBIC ACID GLYCERIN TRIETHYL CITRATE FERULIC ACID SODIUM HYALURONATE D34877/1  ,
